year,week,name,id,gross,theaters
1977,24,The Deep,rl3561784833,6835540,731
1977,24,Exorcist II: The Heretic,rl1582335489,6735000,703
1977,24,Star Wars,rl2759034369,2788281,157
1977,25,Star Wars,rl2759034369,4885463,360
1977,27,Star Wars,rl2759034369,6197462,589
1977,28,Star Wars,rl2759034369,6806951,757
1977,29,Star Wars,rl2759034369,7000644,843
1977,30,Star Wars,rl2759034369,6234376,-
1977,31,Star Wars,rl2759034369,7195573,1044
1977,32,Star Wars,rl2759034369,6705755,1074
1977,33,Star Wars,rl2759034369,5908751,1096
1977,34,Star Wars,rl2759034369,5239535,1048
1977,40,"Oh, God!",rl2137425409,2040920,198
1977,42,Star Wars,rl2759034369,2891000,-
1977,42,Looking for Mr. Goodbar,rl3093399041,1540635,110
1977,43,Star Wars,rl2759034369,3292879,739
1977,44,Star Wars,rl2759034369,2626914,665
1977,45,Star Wars,rl2759034369,2269052,642
1977,46,Star Wars,rl2759034369,1949157,605
1977,47,Star Wars,rl2759034369,2472656,593
1977,48,Star Wars,rl2759034369,1595568,561
1977,49,Star Wars,rl2759034369,1152953,485
1977,50,Close Encounters of the Third Kind,rl340428289,5379460,272
1977,50,Saturday Night Fever,rl2926544385,3878099,504
1977,50,Star Wars,rl2759034369,844662,414
1978,01,Saturday Night Fever,rl2926544385,2671060,726
1978,05,Star Wars,rl2759034369,817290,174
1978,10,Star Wars,rl2759034369,622291,130
1978,13,Star Wars,rl2759034369,543897,107
1978,14,Star Wars,rl2759034369,790452,104
1978,15,Star Wars,rl2759034369,602039,103
1978,23,Damien: Omen II,rl1583777281,3880880,525
1978,24,Jaws 2,rl3562702337,9866023,640
1978,24,Grease,rl2052556289,8941717,862
1978,26,Heaven Can Wait,rl3629549057,3652486,540
1978,29,Star Wars,rl2759034369,10166336,1750
1978,30,National Lampoon's Animal House,rl994215425,276538,12
1978,46,The Lord of the Rings,rl4066477569,626649,31
1978,50,Superman,rl4050814465,7465343,508
1978,51,Every Which Way but Loose,rl105940481,10272294,1275
1978,51,Superman,rl4050814465,6535784,806
1978,52,Superman,rl4050814465,10363384,817
1979,05,The Great Train Robbery,rl1482130945,391942,54
1979,06,The Warriors,rl410551809,3529675,551
1979,09,Norma Rae,rl2422703617,262778,48
1979,10,The Passage,rl3983115777,70461,17
1979,11,Voices,rl2658764289,21040,2
1979,13,La Cage aux Folles,rl3327952385,18709,5
1979,14,The Champ,rl3242755585,1972684,563
1979,17,Manhattan,rl1046709761,485734,29
1979,18,Last Embrace,rl1113556481,376896,266
1979,22,Alien,rl3443557889,2192024,91
1979,23,Alien,rl3443557889,2669177,132
1979,24,Rocky II,rl2993456641,6390537,780
1979,24,Alien,rl3443557889,2240772,148
1979,24,Butch and Sundance: The Early Days,rl3645474305,1522351,689
1979,25,Alien,rl3443557889,5312945,635
1979,25,Escape from Alcatraz,rl3461449217,5306354,815
1979,25,Lost and Found,rl2304869889,1022374,382
1979,26,Moonraker,rl1516602881,7108344,788
1979,26,Alien,rl3443557889,4560137,745
1979,26,Meatballs,rl3479406081,77170,7
1979,27,Alien,rl3443557889,3391197,757
1979,28,Alien,rl3443557889,2777042,733
1979,28,The Frisco Kid,rl743802369,160292,26
1979,28,Breaking Away,rl3477505537,17702,1
1979,29,Dracula,rl1565427201,3141281,395
1979,29,Alien,rl3443557889,2246329,695
1979,29,Breaking Away,rl3477505537,287424,95
1979,30,The Amityville Horror,rl2202240513,7843467,748
1979,30,Alien,rl3443557889,1816627,681
1979,31,Alien,rl3443557889,1533612,613
1979,32,Alien,rl3443557889,1301922,582
1979,33,Alien,rl3443557889,993340,419
1979,33,Life of Brian,rl2908653057,140034,5
1979,33,Apocalypse Now,rl1816299009,118558,3
1979,33,Rich Kids,rl946636289,53064,5
1979,34,Star Wars,rl2759034369,6760165,1520
1979,34,Alien,rl3443557889,957284,422
1979,36,Alien,rl3443557889,649505,357
1979,37,Alien,rl3443557889,485711,317
1979,38,Alien,rl3443557889,540887,360
1979,38,National Lampoon's Animal House,rl977438209,201747,40
