team,year,name,pts
PHW,1947,Joe Fulks,131
PHW,1947,George Senesky,57
PHW,1947,Angelo Musi,47
PHW,1947,Ralph Kaplowitz,44
PHW,1947,Howie Dallmar,43
PHW,1947,Jerry Fleishman,39
PHW,1947,Art Hillhouse,38
PHW,1947,Matt Guokas,1
PHW,1947,Petey Rosenberg,0
PHW,1947,Jerry Rullo,0
CHS,1947,Chick Halbert,72
CHS,1947,Don Carlson,62
CHS,1947,Jim Seminoff,52
CHS,1947,Max Zaslofsky,50
CHS,1947,Chet Carlisle,39
CHS,1947,Chuck Gilmur,34
CHS,1947,Tony Jaros,33
CHS,1947,Wilbert Kautz,13
CHS,1947,Mickey Rottner,8
CHS,1947,Bill Davis,6
CHS,1947,Doyle Parrack,2
BLB,1948,Connie Simmons,91
BLB,1948,Paul Hoffman,82
BLB,1948,Kleggie Hermsen,62
BLB,1948,Buddy Jeannette,53
BLB,1948,Chick Reiser,50
BLB,1948,Dick Schulz,41
BLB,1948,Grady Lewis,34
BLB,1948,Carl Meinhold,24
BLB,1948,Herm Fuetsch,6
BLB,1948,Herm Klotz,3
PHW,1948,Joe Fulks,141
PHW,1948,Chick Halbert,77
PHW,1948,George Senesky,58
PHW,1948,Howie Dallmar,53
PHW,1948,Ralph Kaplowitz,46
PHW,1948,Angelo Musi,31
PHW,1948,Bob O'Brien,12
PHW,1948,Chink Crossin,11
PHW,1948,Jerry Fleishman,11
PHW,1948,Hank Beenders,3
MNL,1949,George Mikan,165
MNL,1949,Herm Schaefer,77
MNL,1949,Jim Pollard,76
MNL,1949,Arnie Ferrin,45
MNL,1949,Don Carlson,37
MNL,1949,Tony Jaros,31
MNL,1949,Jack Dwan,17
MNL,1949,Donnie Forman,11
MNL,1949,Earl Gardner,4
MNL,1949,Johnny Jorgensen,4
MNL,1949,Whitey Kachan,4
WSC,1949,Jack Nichols,85
WSC,1949,Kleggie Hermsen,70
WSC,1949,Fred Scolari,64
WSC,1949,Sonny Hertzberg,57
WSC,1949,Bones McKinney,46
WSC,1949,Dick O'Keefe,30
WSC,1949,Johnny Norlander,27
WSC,1949,Dick Schulz,25
WSC,1949,Matt Zunic,17
