year	team	teamID	pts	q1	q2	q3	q4	m1	m2	m3	m4	mpts
1947	PHW	1610612744	82	0	0	0	0	0	0	0	0	12
1947	PHW	1610612744	72	0	0	0	0	0	0	0	0	19
1947	CHS	1610610025	81	15	20	26	20	-2	4	13	1	16
1947	CHS	1610610025	69	19	17	14	19	9	-1	-1	9	16
1947	CHS	1610610025	67	19	13	24	11	7	-6	10	1	12
1947	CHS	1610610025	69	8	16	19	26	-5	0	-4	2	-7
1947	CHS	1610610025	55	12	16	14	13	1	0	-3	-10	-12
1947	CHS	1610610025	66	20	10	22	14	10	-9	3	1	5
1947	PHW	1610612744	84	20	10	22	32	8	-2	0	7	13
1947	CHS	1610610025	71	12	12	22	25	-8	2	0	-7	-13
1947	PHW	1610612744	85	0	0	0	0	0	0	0	0	11
1947	CHS	1610610025	74	0	0	0	0	0	0	0	0	-11
1947	CHS	1610610025	72	17	14	15	26	-1	1	-1	-2	-3
1947	PHW	1610612744	75	18	13	16	28	1	-1	1	2	3
1947	CHS	1610610025	74	19	23	23	9	2	6	5	-12	1
1947	PHW	1610612744	73	17	17	18	21	-2	-6	-5	12	-1
1947	PHW	1610612744	83	0	0	0	0	0	0	0	0	3
1947	CHS	1610610025	80	0	0	0	0	0	0	0	0	-3
1947	PHW	1610612744	73	0	0	0	0	0	0	0	0	5
1947	PHW	1610612744	51	12	15	13	11	-7	-4	-4	-7	-22
1947	PHW	1610612744	75	0	0	0	0	0	0	0	0	16
1948	PHW	1610612744	58	0	0	0	0	0	0	0	0	-2
1948	PHW	1610612744	65	0	0	0	0	0	0	0	0	1
1948	PHW	1610612744	84	17	18	25	24	0	7	12	9	28
1948	PHW	1610612744	51	0	0	0	0	0	0	0	0	-5
1948	PHW	1610612744	62	0	0	0	0	0	0	0	0	-7
1948	PHW	1610612744	84	0	0	0	0	0	0	0	0	23
1948	PHW	1610612744	85	0	0	0	0	0	0	0	0	39
1948	BAL	1610610024	73	0	0	0	0	0	0	0	0	6
1948	BAL	1610610024	89	0	0	0	0	0	0	0	0	17
1948	PHW	1610612744	71	0	0	0	0	0	0	0	0	11
1948	BAL	1610610024	60	0	0	0	0	0	0	0	0	-11
1948	PHW	1610612744	63	0	0	0	0	0	0	0	0	-3
1948	BAL	1610610024	66	0	0	0	0	0	0	0	0	3
1948	BAL	1610610024	72	11	20	18	23	-1	2	1	0	2
1948	PHW	1610612744	70	12	18	17	23	1	-2	-1	0	-2
1948	BAL	1610610024	78	20	20	12	26	7	5	-5	-4	3
1948	PHW	1610612744	75	13	15	17	30	-7	-5	5	4	-3
1948	PHW	1610612744	91	0	0	0	0	0	0	0	0	9
1948	BAL	1610610024	82	0	0	0	0	0	0	0	0	-9
1948	BAL	1610610024	88	0	0	0	0	0	0	0	0	15
1948	PHW	1610612744	73	0	0	0	0	0	0	0	0	-15
1948	BAL	1610610024	85	19	26	21	19	-2	4	2	0	4
1948	BAL	1610610024	69	0	0	0	0	0	0	0	0	-10
1948	BAL	1610610024	84	0	0	0	0	0	0	0	0	7
1949	MNL	1610612747	84	0	0	0	0	0	0	0	0	7
1949	MNL	1610612747	101	0	0	0	0	0	0	0	0	16
1949	WAS	1610610036	92	15	25	24	28	-2	8	11	5	22
1949	WAS	1610610036	80	22	17	20	21	2	4	4	-8	2
1949	MNL	1610612747	80	0	0	0	0	0	0	0	0	1
1949	MNL	1610612747	67	0	0	0	0	0	0	0	0	12
1949	WAS	1610610036	77	21	17	18	21	4	-1	1	2	6
1949	WAS	1610610036	84	0	0	0	0	0	0	0	0	-2
1949	WAS	1610610036	84	24	24	12	24	9	1	-5	3	8
1949	MNL	1610612747	88	0	0	0	0	0	0	0	0	4
1949	WAS	1610610036	84	0	0	0	0	0	0	0	0	-4
1949	MNL	1610612747	76	20	27	11	18	7	8	-2	1	14
1949	WAS	1610610036	62	13	19	13	17	-7	-8	2	-1	-14
1949	WAS	1610610036	74	14	15	24	21	-12	-2	-4	-2	-20
1949	MNL	1610612747	94	26	17	28	23	12	2	4	2	20
1949	WAS	1610610036	83	22	23	20	18	-1	11	4	-2	12
1949	MNL	1610612747	71	23	12	16	20	1	-11	-4	2	-12
1949	WAS	1610610036	74	0	0	0	0	0	0	0	0	8
1949	MNL	1610612747	66	0	0	0	0	0	0	0	0	-8
1949	MNL	1610612747	77	0	0	0	0	0	0	0	0	21
1949	WAS	1610610036	56	0	0	0	0	0	0	0	0	-21
1950	MNL	1610612747	75	0	0	0	0	0	0	0	0	25
1950	MNL	1610612747	90	0	0	0	0	0	0	0	0	19
1950	SYR	1610612755	93	20	28	19	26	-4	14	2	5	17
1950	SYR	1610612755	59	16	10	13	20	4	-9	0	11	6
1950	MNL	1610612747	85	0	0	0	0	0	0	0	0	10
1950	MNL	1610612747	75	0	0	0	0	0	0	0	0	8
1950	MNL	1610612747	93	0	0	0	0	0	0	0	0	14
1950	MNL	1610612747	89	0	0	0	0	0	0	0	0	7
1950	SYR	1610612755	91	0	0	0	0	0	0	0	0	8
1950	SYR	1610612755	76	0	0	0	0	0	0	0	0	-4
1950	SYR	1610612755	91	0	0	0	0	0	0	0	0	11
1950	SYR	1610612755	66	10	20	23	13	-6	2	6	-4	-2
1950	MNL	1610612747	68	16	18	17	17	6	-2	-6	4	2
1950	SYR	1610612755	91	0	0	0	0	0	0	0	0	6
1950	MNL	1610612747	85	0	0	0	0	0	0	0	0	-6
1950	MNL	1610612747	91	0	0	0	0	0	0	0	0	14
1950	SYR	1610612755	77	0	0	0	0	0	0	0	0	-14
1950	MNL	1610612747	77	0	0	0	0	0	0	0	0	8
1950	SYR	1610612755	69	0	0	0	0	0	0	0	0	-8
1950	SYR	1610612755	83	0	0	0	0	0	0	0	0	7
1950	MNL	1610612747	76	0	0	0	0	0	0	0	0	-7
1950	MNL	1610612747	110	25	26	30	29	7	5	13	-10	15
1950	SYR	1610612755	95	18	21	17	39	-7	-5	-13	10	-15
1951	ROC	1610612758	110	30	27	25	28	16	-2	5	10	29
1951	ROC	1610612758	78	13	23	18	24	-7	-1	0	3	-5
1951	ROC	1610612758	97	23	23	27	24	1	4	16	-4	19
1951	NYK	1610612752	83	0	0	0	0	0	0	0	0	14
1951	NYK	1610612752	92	0	0	0	0	0	0	0	0	14
1951	ROC	1610612758	92	24	27	21	20	6	11	5	5	27
1951	NYK	1610612752	65	18	16	16	15	-6	-11	-5	-5	-27
1951	ROC	1610612758	73	20	18	10	25	0	0	-6	3	-3
1951	ROC	1610612758	70	17	20	16	17	1	6	-3	0	4
1951	ROC	1610612758	83	0	0	0	0	0	0	0	0	13
1951	ROC	1610612758	80	0	0	0	0	0	0	0	0	5
1951	NYK	1610612752	103	0	0	0	0	0	0	0	0	11
1951	NYK	1610612752	80	0	0	0	0	0	0	0	0	-22
1951	NYK	1610612752	97	0	0	0	0	0	0	0	0	22
1951	NYK	1610612752	83	12	22	26	23	-13	1	7	-2	-7
1951	NYK	1610612752	83	0	0	0	0	0	0	0	0	2
1951	ROC	1610612758	99	26	21	26	26	9	0	-2	8	15
1951	NYK	1610612752	84	17	21	28	18	-9	0	2	-8	-15
1951	NYK	1610612752	71	17	16	15	23	2	-4	-1	-4	-7
1951	ROC	1610612758	78	15	20	16	27	-2	4	1	4	7
1951	NYK	1610612752	79	21	19	17	22	11	1	-11	5	6
