year	teamID	finalTeamID	teamName
1950	AND	AND	Anderson Packers
1950	BLB	BLB	Baltimore Bullets
1950	BOS	BOS	Boston Celtics
1950	CHS	CHS	Chicago Stags
1950	DNN	DNN	Denver Nuggets
1950	FTW	DET	Fort Wayne Pistons
1950	INO	INO	Indianapolis Olympians
1950	MNL	LAL	Minneapolis Lakers
1950	NYK	NYK	New York Knicks
1950	PHW	GSW	Philadelphia Warriors
1950	ROC	SAC	Rochester Royals
1950	SHE	SHE	Sheboygan Red Skins
1950	STB	STB	St. Louis Bombers
1950	SYR	PHI	Syracuse Nationals
1950	TRI	ATL	Tri-Cities Blackhawks
1950	WAT	WAT	Waterloo Hawks
1950	WSC	WSC	Washington Capitols
1951	BLB	BLB	Baltimore Bullets
1951	BOS	BOS	Boston Celtics
1951	FTW	DET	Fort Wayne Pistons
1951	INO	INO	Indianapolis Olympians
1951	MNL	LAL	Minneapolis Lakers
1951	NYK	NYK	New York Knicks
1951	PHW	GSW	Philadelphia Warriors
1951	ROC	SAC	Rochester Royals
1951	SYR	PHI	Syracuse Nationals
1951	TRI	ATL	Tri-Cities Blackhawks
1951	WSC	WSC	Washington Capitols
1952	BLB	BLB	Baltimore Bullets
1952	BOS	BOS	Boston Celtics
1952	FTW	DET	Fort Wayne Pistons
1952	INO	INO	Indianapolis Olympians
1952	MLH	ATL	Milwaukee Hawks
1952	MNL	LAL	Minneapolis Lakers
1952	NYK	NYK	New York Knicks
1952	PHW	GSW	Philadelphia Warriors
1952	ROC	SAC	Rochester Royals
1952	SYR	PHI	Syracuse Nationals
1953	BLB	BLB	Baltimore Bullets
1953	BOS	BOS	Boston Celtics
1953	FTW	DET	Fort Wayne Pistons
1953	INO	INO	Indianapolis Olympians
1953	MLH	ATL	Milwaukee Hawks
1953	MNL	LAL	Minneapolis Lakers
1953	NYK	NYK	New York Knicks
1953	PHW	GSW	Philadelphia Warriors
1953	ROC	SAC	Rochester Royals
1953	SYR	PHI	Syracuse Nationals
1954	BLB	BLB	Baltimore Bullets
1954	BOS	BOS	Boston Celtics
1954	FTW	DET	Fort Wayne Pistons
1954	MLH	ATL	Milwaukee Hawks
1954	MNL	LAL	Minneapolis Lakers
1954	NYK	NYK	New York Knicks
1954	PHW	GSW	Philadelphia Warriors
1954	ROC	SAC	Rochester Royals
1954	SYR	PHI	Syracuse Nationals
1955	BLB	BLB	Baltimore Bullets
1955	BOS	BOS	Boston Celtics
1955	FTW	DET	Fort Wayne Pistons
1955	MLH	ATL	Milwaukee Hawks
1955	MNL	LAL	Minneapolis Lakers
1955	NYK	NYK	New York Knicks
1955	PHW	GSW	Philadelphia Warriors
1955	ROC	SAC	Rochester Royals
1955	SYR	PHI	Syracuse Nationals
1956	BOS	BOS	Boston Celtics
1956	FTW	DET	Fort Wayne Pistons
1956	MNL	LAL	Minneapolis Lakers
1956	NYK	NYK	New York Knicks
1956	PHW	GSW	Philadelphia Warriors
1956	ROC	SAC	Rochester Royals
1956	STL	ATL	St. Louis Hawks
1956	SYR	PHI	Syracuse Nationals
1957	BOS	BOS	Boston Celtics
1957	FTW	DET	Fort Wayne Pistons
1957	MNL	LAL	Minneapolis Lakers
1957	NYK	NYK	New York Knicks
1957	PHW	GSW	Philadelphia Warriors
1957	ROC	SAC	Rochester Royals
1957	STL	ATL	St. Louis Hawks
1957	SYR	PHI	Syracuse Nationals
1958	BOS	BOS	Boston Celtics
1958	CIN	SAC	Cincinnati Royals
1958	DET	DET	Detroit Pistons
1958	MNL	LAL	Minneapolis Lakers
1958	NYK	NYK	New York Knicks
1958	PHW	GSW	Philadelphia Warriors
1958	STL	ATL	St. Louis Hawks
1958	SYR	PHI	Syracuse Nationals
1959	BOS	BOS	Boston Celtics
1959	CIN	SAC	Cincinnati Royals
1959	DET	DET	Detroit Pistons
1959	MNL	LAL	Minneapolis Lakers
1959	NYK	NYK	New York Knicks
1959	PHW	GSW	Philadelphia Warriors
1959	STL	ATL	St. Louis Hawks
1959	SYR	PHI	Syracuse Nationals
1960	BOS	BOS	Boston Celtics
1960	CIN	SAC	Cincinnati Royals
1960	DET	DET	Detroit Pistons
1960	MNL	LAL	Minneapolis Lakers
1960	NYK	NYK	New York Knicks
1960	PHW	GSW	Philadelphia Warriors
1960	STL	ATL	St. Louis Hawks
1960	SYR	PHI	Syracuse Nationals
1961	BOS	BOS	Boston Celtics
1961	CIN	SAC	Cincinnati Royals
1961	DET	DET	Detroit Pistons
1961	LAL	LAL	Los Angeles Lakers
1961	NYK	NYK	New York Knicks
