index,title,date
5187,"""Carol Channing"" in Concert",2011-01-12
6598,"""Daddy""",2019-03-05
5688,"""Mildred Fierce""",2013-10-12
6798,#DateMe: An OkCupid Experiment,2019-07-08
6848,(A)loft Modulation,2019-10-02
4547,(The Blood) Electra,2007-05-31
6411,[PORTO],2018-02-06
4219,[title of show],2006-02-26
4375,¡El Conquistador!,2006-10-03
4511,10 Million Miles,2007-06-14
4868,10 Things To Do Before I Die,2009-05-28
4551,100 Saints You Should Know,2007-09-18
6258,1001 Nights: A Love Story About Loving Stories,2016-09-17
6724,17 Border Crossings,2019-04-15
267,2 1/2 Jews,1998-12-12
6126,2 Across: A New Comedy of Crosswords and Romance,2015-12-09
6429,20th Century Blues,2017-11-26
4398,25 Questions for a Jewish Mother,2006-10-12
5621,3 Kinds of Exile,2013-06-11
6147,3 MICS,2016-03-03
5991,39 Steps,2015-04-13
5248,4000 Miles,2011-06-20
5376,4000 Miles,2012-04-02
5007,4PLAY,2010-02-08
5076,4PLAY,2010-08-09
5506,5 Lesbians Eating a Quiche,2012-10-13
5640,5 Lesbians Eating a Quiche,2013-06-26
5734,50 Shades! The Musical Parody,2014-03-12
5020,666,2010-04-15
6888,72 Miles to Go...,2020-03-10
5414,7th Monarch,2012-06-24
5499,8 Million Protagonists,2012-11-08
6272,90210! The Musical,2016-09-08
2659,A Bad Friend,2003-06-09
5958,A Beautiful Day in November on the Banks of the Greatest of the Great Lakes,2015-01-15
6160,A Better Place,2016-05-15
4681,A Body of Water,2008-10-14
4947,A Boy and His Soul,2009-09-24
6892,A Boy’s Company Presents: “Tell Me If I’m Hurting You”,2020-05-15
6769,A Bright Room Called Day,2019-11-19
2112,A Celtic Christmas,2002-12-03
4844,A Child's Christmas in Wales,2008-12-07
6669,A Child's Christmas in Wales,2018-12-03
1107,A Chorus Line,1975-05-21
5458,A Christmas Carol,1979-12-01
4175,A Christmas Carol,2005-12-15
5700,A Christmas Carol,2013-11-25
5753,A Christmas Carol,2013-12-01
6200,A Christmas Carol,2015-11-29
6402,A Christmas Carol,2016-11-27
6588,A Strange Loop,2019-06-17
5486,A Summer Day,2012-10-25
6274,A Taste of Honey,2016-09-18
6280,A Taste of Things to Come,2016-11-17
6900,A Touch of the Poet,2020-04-05
5215,A Tree Grows in Brooklyn,2011-03-20
6970,A Turtle on a Fence Post,2021-11-14
4426,A Very Common Procedure,2007-02-14
3060,A Very Merry Unauthorized Children's Scientology Pageant,2003-12-18
4646,A View From 151st Street,2007-10-18
6474,A Walk With Mr. Heifetz,2018-02-20
4035,A Woman of Will,2005-10-02
4171,Abigail's Party,2005-12-01
5096,Abraham Lincoln's Big Gay Dance Party,2010-08-12
3349,Absolutely Fascinating,2004-05-18
5951,Absolution,2014-12-10
6718,Accidentally Brave,2019-03-25
6358,Actually,2017-11-14
6691,"Actually, We’re F**ked",2019-03-07
3045,Addicted,2003-12-14
5598,Addicted to Show Business,2013-03-13
4662,Adding Machine,2008-02-25
3315,Address Unknown,2004-06-10
6509,Admissions,2018-03-12
4434,Adrift in Macao,2007-02-13
1935,Adult Entertainment,2002-12-11
6711,After,2019-03-17
3677,After Ashley,2005-02-28
4922,After Luke & When I Was God,2009-08-06
3576,After the Ball,2004-12-16
6382,After The Blast,2017-10-23
5123,After the Revolution,2010-11-10
3320,Afterbirth: Kathy & Mo's Greatest Hits,2004-06-17
4944,Aftermath,2009-09-15
4918,Ages of the Moon,2010-01-27
5140,"Ah, Wilderness!",1983-06-28
6555,Ain't No Mo',2019-03-27
6617,Alice By Heart,2019-02-26
5289,Alice in Wonderland,2011-07-30
5744,Alice in Wonderland,2012-02-12
6203,Alice in Wonderland,2015-10-11
6896,Alice in Wonderland,2019-09-21
4798,Aliens with Extraordinary Skills,2008-09-30
4280,All Dolled Up,2006-05-07
6847,All Hallows Eve,--
5580,All in the Timing,2013-02-12
6676,All is Calm: The Christmas Truce of 1914,2018-11-18
5253,All New People,2011-07-25
5695,All That Fall,2013-11-12
4433,All That I Will Ever Be,2007-02-06
4588,Jump,2007-10-07
5279,Jump,2011-05-11
4215,Jump/Cut,2006-02-12
3409,Junie B. Jones,2004-07-21
4068,Junie B. Jones,2005-11-10
4672,Junie B. Jones,2008-03-22
6216,Junie B's Essential Survival Guide to School,2016-07-27
5676,Juno and the Paycock,2013-10-20
6684,Juno and the Paycock,2019-03-19
6991,Just For Us,2021-12-08
5760,Just Jim Dale,2014-06-03
2930,Juvenilia,2003-11-14
5537,Kafka's Monkey,2013-04-04
4420,Kaos,2006-12-04
5581,Katie Roche,2013-02-25
6840,Katsura Sunshine's Rakugo,2019-09-28
6672,Kennedy: Bobby's Last Crusade,2018-11-08
4750,Kicking a Dead Horse,2008-07-14
6298,Kid Victory,2017-02-22
2658,Kiki & Herb: A Coup de Theatre,2003-05-07
6531,Kill Move Paradise,2017-06-03
2207,Kimberly Akimbo,2003-02-04
6948,Kimberly Akimbo,2021-12-08
5202,Kin,2011-03-21
4799,Kindness,2008-10-13
4880,King David,2009-04-16
4429,King Hedley II,2007-03-11
4428,King Lear,2007-03-07
5271,King Lear,2011-11-08
5828,King Lear,2014-08-05
6449,Kings,2018-02-21
5239,Knickerbocker,2011-05-19
6410,KPOP,2017-09-22
4845,"Krapp, 39",2009-01-22
6986,"Kristina Wong, Sweatshop Overlord",2021-11-04
5549,Kung Fu,2014-02-24
3115,Kwatz! The Sound of a Hammer Hitting the Head,2004-03-24
6779,L.O.V.E.R.,2019-09-08
5207,La Barberia,2011-02-17
6277,La Cancion El Musical,2016-10-07
5707,La Soiree,2013-11-07
5624,Lady Day,2013-10-03
4285,Landscape of the Body,2006-04-16
4882,Lansky,2009-02-05
5031,Lascivious Something,2010-05-11
2609,Last Dance,2003-06-03
3402,Last Easter,2004-10-07
2396,Last Sunday in June,2003-04-09
6290,Latin History for Morons,2017-03-27
5221,Laughing Liberally: This Ain't No Tea Party,2011-03-24
6058,Lazarus,2015-12-07
3687,Lazer Vaudeville,2005-03-09
4725,"Len, Asleep in Vinyl",2008-06-02
5888,Lennon: Through a Glass Onion,2014-10-15
4216,Lenny Bruce...In His Own Words,2006-02-01
4908,Let Me Down Easy,2009-10-07
5559,Let's Kill Grandma This Christmas,2012-12-03
3399,Let's Put On A Show,2004-08-10
6950,Letters Of Suresh,2021-10-12
4902,Levittown,2009-07-13
5886,LIBERTY A Monumental New Musical,2014-10-19
6214,Liberty A Monumental New Musical,2016-07-04
4674,Liberty City,2008-03-04
5713,Lies My Father Told Me,2013-11-21
4758,Life in a Marital Institution (20 Years of Monogamy in One Terrifying Hour),2008-07-09
6749,Life Sucks.,2019-06-16
5904,Lift,2014-10-28
3222,Light Raise the Roof,2004-05-20
6496,Light Shining In Buckinghamshire,2018-05-07
6942,"Lilies, or The Revival of a Romantic Drama",2021-05-17
6195,Linda,2017-02-28
3680,LingoLand,2005-02-15
5169,Lingua Franca,2010-11-16
5850,"Lips Together, Teeth Apart",2014-10-29
3040,Listen to My Heart,2003-10-23
6992,Little Christmas Miracles,2021-12-04
2213,Little Fish,2003-02-13
6799,Little Gem,2019-07-25
1630,Little Ham,2002-09-26
5661,Little Miss Sunshine,2013-11-14
6537,Little Rock,2018-06-14
6817,Little Shop of Horrors,2019-10-17
6622,Little Women,2019-06-04
5946,Lives of the Saints,2015-02-24
2922,Living Out,2003-09-30
6733,Lizzie The Musical,2019-08-05
6458,Log Cabin,2018-06-25
6865,London Assurance,2019-12-15
5728,London Wall,2014-02-24
3506,Lone Star Love,2004-12-08
5394,"Lonely, I'm Not",2012-05-07
6538,Lonesome Blues,2018-06-19
6615,Long Lost,2019-06-04
5317,Look Back in Anger,2012-02-02
4288,Look Ma...No Ears,2006-05-06
4356,Loose,2006-06-20
5726,Loot,2014-01-16
5808,Los Monologos de la Vagina,2014-05-14
5981,Lost Girls,2015-11-09
5799,Lost Lake,2014-11-11
6821,Love Actually? The Unauthorized Musical Parody,2019-12-02
6980,Love Actually? The Unauthorized Musical Parody,2021-11-30
5735,Love and Information,2014-02-19
4849,Love Child,2008-10-26
4954,Love Child,2009-10-31
5025,Love is My Sin,2010-04-01
6914,Love Quirks,--
5232,Love Song,2011-04-05
62,"Love, Janis",2001-04-22
5693,"Love, Linda: The Life of Mrs. Cole Porter",2013-12-12
4903,"Love, Loss, and What I Wore",2009-10-01
6106,"Love, Love, Love",2016-10-19
6930,Lovers and Keepers,1986-04-17
5283,Love's Labor's Lost,2011-10-31
5657,Love's Labour's Lost,2013-07-23
5689,Luce,2013-10-21
5514,Luck of the Irish,2013-02-11
5178,Lucky Guy,2011-05-19
6837,Luisa Omielan: More Than a Thigh Gap,--
3038,Lypsinka! As I Lay Lip-Synching,2003-11-05
5940,Lypsinka! The Trilogy,2014-11-13
2929,Lysistrata,2003-10-24
6719,Mac Beth,2019-05-19
5222,Macbeth,2011-03-20
5409,Macbeth,2012-04-29
6833,Macbeth,2019-10-27
2701,Mack The Knife...The Life & Music of Bobby Darin,2003-06-22
6088,Mad Libs Live!,2015-11-02
6253,Made in China,2017-01-15
4958,Made in Heaven,2009-11-02
6229,Maestro,2016-09-11
6687,Maestro,2019-01-03
3077,Magic Hands Freddy,2004-02-19
4507,Magpie,2007-03-09
4924,Mahida's Extra Key to Heaven,2009-09-26
5876,Major Barbara,2014-11-16
6702,Make Believe,2019-08-15
4629,Make Me a Song,2007-11-12
5772,Mala Hierba,2014-07-24
5397,Man and Superman,2012-05-06
6295,Man From Nebraska,2017-02-15
3431,Mandy Patinkin in Concert,2004-09-20
5252,Manipulation,2011-06-28
6459,Mankind,2018-01-08
3888,Manuscript,2005-06-12
6960,Many Happy Returns,2021-08-02
5286,Maple and Vine,2011-12-07
5218,Marie and Bruce,2011-04-05
6215,Marie and Rosetta,2016-09-12
4771,Marie Antoinette: The Color of Flesh,2008-07-10
6051,Marjorie Prime,2015-12-14
6351,Marry Harry,2017-05-04
6304,Martin Luther on Trial,2016-12-04
5479,Mary Broome,2012-09-10
6424,Mary Jane,2017-09-25
6510,Mary Page Marlowe,2018-07-12
4431,Mary Rose,2007-02-20
6482,Mary Shelley's Frankenstein,2017-12-27
6690,Marys Seacole,2019-02-25
6251,Master Harold... and the Boys,2016-11-07
2893,Matt & Ben,2003-08-07
4585,Max and Ruby,2007-12-09
3076,Max Morath: Ragtime and Again,2004-02-08
6862,Mayakovsky and Stalin,2019-10-20
4877,"Maybe Baby, It's You",1999-11-09
4445,Mayumana's Be,2007-03-13
4997,MazelTov Cocktail … an explosive family comedy,2010-02-20
3679,McReele,2005-02-24
5641,Me and Jezebel,2013-07-24
6386,Me The People,2017-06-22
5925,"Me, My Mouth & I",2014-11-23
4982,Measure for Measure,2010-02-14
5234,Measure for Measure,2011-06-30
5777,Measure for Measure,2014-02-28
6384,Measure For Measure,2017-10-10
6824,Measure for Measure,2019-07-28
4221,Measure for Pleasure,2006-03-08
4042,Medea,2005-09-23
4114,Medea,2005-10-30
5382,Medieval Play,2012-06-07
4440,Meet Me in St. Louis,2006-12-14
3783,Memory House,2005-05-17
5929,Men and Women Talking Love and Sex,2014-12-05
6090,"Men are from Mars, Women are from Venus LIVE!",2015-11-07
6153,Men on Boats,2016-08-01
1001,Menopause the Musical,2002-04-04
6624,Merrily We Roll Along,2019-02-19
6943,Merry Wives,2021-08-09
5104,Middletown,2010-11-03
6640,Midnight at the Never Get,2018-10-11
6607,Mies Julie,2019-02-10
5846,Mighty Real: A Fabulous Sylvester Musical,2014-09-14
5216,Mike Birbiglia's My Girlfriend's Boyfriend,2011-03-31
6443,Miles for Mary,2018-01-22
5277,Milk Like Sugar,2011-11-01
5268,Million Dollar Quartet,2011-07-28
4372,Mimi le Duck,2006-11-06
4805,Mindgame,2008-11-09
3068,Ministry of Progress,2004-03-04
4005,Miracle Brothers,2005-09-18
5387,Miracle On South Division Street,2012-05-13
4974,Misalliance,2009-12-13
5124,"Miss Abigail's Guide to Dating, Mating, & Marriage",2010-10-24
6863,Miss America's Ugly Daughter,2020-01-17
3348,Miss Julie,2004-06-22
4071,Miss Witherspoon,2005-11-29
6470,Miss You Like Hell,2018-04-10
5111,Mistakes Were Made,2010-11-14
6524,Mlima's Tale,2018-04-15
3502,Modern Orthodox,2004-12-06
5478,"Modern Terrorism, or They Who Want to Kill Us and How We Learn to Love Them",2012-10-18
5051,Modotti,2010-06-11
6557,Mojada,2019-07-17
5189,Molly Sweeney,2011-01-30
2593,Mondo Drama,2003-05-22
6405,Money Talks,2017-07-23
3690,Moonlight and Magnolias,2005-03-29
6946,Morning Sun,2021-11-03
6977,Morning's at Seven,2021-11-15
4217,Moscow Cats Theatre,2006-02-03
6619,Moscow Moscow Moscow Moscow Moscow Moscow,2019-07-18
4038,Mother Courage,2005-09-07
6097,Mother Courage and Her Children,2016-01-19
