slug	rank	date	genre	artist	album	year
Woods - Songs of Shame	50	April 14, 2009	Lo-Fi	Woods	Songs of Shame	2009
Cass McCombs - Catacombs	49	June 2, 2009	Folk	Cass McCombs	Catacombs	2009
DOOM - Born Like This	48	March 24, 2009	Hip Hop	DOOM	Born Like This	2009
Zomby - Where Were U in 92?	47	December 9, 2008	Dubstep	Zomby	Where Were U in 92?	2009
Dan Deacon - Bromst	46	March 24, 2009	Indietronica	Dan Deacon	Bromst	2009
The Mountain Goats - The Life of the World to Come	45	October 6, 2009	Indie Rock	The Mountain Goats	The Life of the World to Come	2009
tUnE-yArDs - BiRd-BrAiNs	44	March 19, 2009	Freak Folk	tUnE-yArDs	BiRd-BrAiNs	2009
Cymbals Eat Guitars - Why There Are Mountains	43	January 20, 2009	Indie Rock	Cymbals Eat Guitars	Why There Are Mountains	2009
A Sunny Day in Glasgow - Ashes Grammar	42	September 15, 2009	Shoegaze	A Sunny Day in Glasgow	Ashes Grammar	2009
Baroness - Blue Record	41	October 13, 2009	Sludge Metal	Baroness	Blue Record	2009
Mos Def - The Ecstatic	40	June 9, 2009	Hip Hop	Mos Def	The Ecstatic	2009
Jim O'Rourke - The Visitor	39	September 8, 2009	Experimental	Jim O'Rourke	The Visitor	2009
Major Lazer - Guns Don't Kill People...Lazers Do	38	June 16, 2009	Dancehall	Major Lazer	Guns Don't Kill People...Lazers Do	2009
The Antlers - Hospice	37	March 3, 2009	Indie Rock	The Antlers	Hospice	2009
Dinosaur Jr. - Farm	36	June 23, 2009	Alternative Rock	Dinosaur Jr.	Farm	2009
JJ - jj n° 2	35	July 1, 2009	Electronic	JJ	jj n° 2	2009
Passion Pit - Manners	34	May 19, 2009	Electronic	Passion Pit	Manners	2009
Bibio - Ambivalence Avenue	33	June 23, 2009	Experimental	Bibio	Ambivalence Avenue	2009
Bear in Heaven - Beast Rest Forth Mouth	32	October 20, 2009	Experimental Rock	Bear in Heaven	Beast Rest Forth Mouth	2009
Sunn O))) - Monoliths and Dimensions	31	May 26, 2009	Drone Metal	Sunn O)))	Monoliths and Dimensions	2009
Röyksopp - Junior	30	March 23, 2009	Electronic	Röyksopp	Junior	2009
Yo La Tengo - Popular Songs	29	September 8, 2009	Indie Rock	Yo La Tengo	Popular Songs	2009
Micachu and the Shapes - Jewellery	28	March 9, 2009	Experimental	Micachu and the Shapes	Jewellery	2009
Various Artists - 5: Five Years of Hyperdub	27	October 27, 2009	Dubstep	Various Artists	5: Five Years of Hyperdub	2009
Bon Iver - Blood Bank EP	26	January 20, 2009	Indie Folk	Bon Iver	Blood Bank EP	2009
DJ Quik & Kurupt - Blaqkout	25	June 9, 2009	Hip Hop	DJ Quik & Kurupt	Blaqkout	2009
Bill Callahan - Sometimes I Wish We Were An Eagle	24	April 14, 2009	Folk	Bill Callahan	Sometimes I Wish We Were An Eagle	2009
Memory Tapes - Seek Magic	23	August 25, 2009	Electronic	Memory Tapes	Seek Magic	2009
Wild Beasts - Two Dancers	22	September 8, 2009	Indie Rock	Wild Beasts	Two Dancers	2009
Neko Case - Middle Cyclone	21	March 3, 2009	Alt-Country	Neko Case	Middle Cyclone	2009
Real Estate - Real Estate	20	November 17, 2009	Lo-Fi	Real Estate	Real Estate	2009
The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	19	February 3, 2009	Indie Pop	The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	2009
Atlas Sound - Logos	18	October 20, 2009	Psychedelic Pop	Atlas Sound	Logos	2009
The Very Best - Warm Heart of Africa	17	October 6, 2009	Electronic	The Very Best	Warm Heart of Africa	2009
Antony and the Johnsons - The Crying Light	16	January 20, 2009	Chamber Pop	Antony and the Johnsons	The Crying Light	2009
Japandroids - Post-Nothing	15	April 28, 2009	Garage Rock	Japandroids	Post-Nothing	2009
Neon Indian - Psychic Chasms	14	October 13, 2009	Chillwave	Neon Indian	Psychic Chasms	2009
St. Vincent - Actor	13	May 5, 2009	Indie Pop	St. Vincent	Actor	2009
Yeah Yeah Yeahs - It's Blitz!	12	March 31, 2009	Indie Rock	Yeah Yeah Yeahs	It's Blitz!	2009
Fuck Buttons - Tarot Sport	11	October 20, 2009	Electronic	Fuck Buttons	Tarot Sport	2009
Girls - Album	10	September 22, 2009	Indie Pop	Girls	Album	2009
Fever Ray - Fever Ray	9	January 12, 2009	Electropop	Fever Ray	Fever Ray	2009
Phoenix - Wolfgang Amadeus Phoenix	8	May 26, 2009	Indie Pop	Phoenix	Wolfgang Amadeus Phoenix	2009
Bat For Lashes - Two Suns	7	April 7, 2009	Art Pop	Bat For Lashes	Two Suns	2009
Grizzly Bear - Veckatimest	6	May 26, 2009	Psychedelic Folk	Grizzly Bear	Veckatimest	2009
Raekwon - Only Built 4 Cuban Linx... Pt. II	5	September 8, 2009	Hip Hop	Raekwon	Only Built 4 Cuban Linx... Pt. II	2009
The Flaming Lips - Embryonic	4	October 13, 2009	Neo-Psychedelia	The Flaming Lips	Embryonic	2009
The xx - xx	3	October 6, 2009	Indie Pop	The xx	xx	2009
Dirty Projectors - Bitte Orca	2	June 9, 2009	Indie Pop	Dirty Projectors	Bitte Orca	2009
Animal Collective - Merriweather Post Pavilion	1	January 20, 2009	Psychedelic Pop	Animal Collective	Merriweather Post Pavilion	2009
Clams Casino - Instrumental	100	March 2, 2011	Electronic	Clams Casino	Instrumental	2010-2014
Jai Paul - Jai Paul	99	April 1, 2013	Alternative R&B	Jai Paul	Jai Paul	2010-2014
Earl Sweatshirt - EARL	98	March 31, 2010	Hip Hop	Earl Sweatshirt	EARL	2010-2014
Rustie - Glass Swords	97	October 11, 2011	Electronic	Rustie	Glass Swords	2010-2014
Young Thug - 1017 Thug	96	February 23, 2013	Hip Hop	Young Thug	1017 Thug	2010-2014
Nicolas Jaar - Space Is Only Noise	95	January 31, 2011	Microhouse	Nicolas Jaar	Space Is Only Noise	2010-2014
How to Dress Well - What Is This Heart?	94	June 24, 2014	Alternative R&B	How to Dress Well	What Is This Heart?	2010-2014
Tim Hecker - Ravedeath, 1972	93	February 15, 2011	Drone	Tim Hecker	Ravedeath, 1972	2010-2014
Bat For Lashes - The Haunted Man	92	October 15, 2012	Art Pop	Bat For Lashes	The Haunted Man	2010-2014
Actress - Splazsh	91	May 28, 2010	Microhouse	Actress	Splazsh	2010-2014
Waxahatchee - Cerulean Salt	90	March 5, 2013	Singer-Songwriter	Waxahatchee	Cerulean Salt	2010-2014
